bardziej	bardz|ROOT_ALLOMORPH @@ iej|ADV_COMPARATIVE
najbardziej	naj|PREFIX @@ bardz|ROOT_ALLOMORPH @@ iej|ADV_COMPARATIVE
kogokolwiek	kogo|PRONOUN_BASE @@ kolwiek|INDEF_PARTICLE
czegokolwiek	czego|PRONOUN_BASE @@ kolwiek|INDEF_PARTICLE
przemierzają	prze|PREFIX @@ mierz|ROOT @@ aj|VERB_THEME @@ ą|PRES_3PL
odmierzają	od|PREFIX @@ mierz|ROOT @@ aj|VERB_THEME @@ ą|PRES_3PL
innego	in|ROOT @@ n|STEM_EXT @@ ego|GEN_SG_MN_ADJ
czynnego	czyn|ROOT @@ n|STEM_EXT @@ ego|GEN_SG_MN_ADJ
psem	ps|ROOT_ALLOMORPH @@ em|INST_SG
psu	ps|ROOT_ALLOMORPH @@ u|GEN_LOC_SG
ręce	ręc|ROOT_ALLOMORPH @@ e|NOM_ACC_PL
przyszliśmy	przy|PREFIX @@ sz|ROOT_ALLOMORPH @@ liśmy|PAST_1PL
